function_name	segment	start	length	locals	args_count	R	F	L	M	O	S	B	T	=	X
B$SSClearRange	seg002	00002313	00000072	00000002		R	.	L	.	.	.	.	.	.	.
B$SSEG	seg002	00000B65	00000010	00000002	00000002	R	F	L	.	.	.	B	.	.	.
B$SSEK	seg002	0000087B	0000004C	00000002	00000006	R	F	L	.	.	.	B	.	.	.
B$SSTK	seg002	0000108B	000000E5	00000002	00000006	R	F	L	.	.	.	B	.	.	.
B$STACKINIT	seg002	00001A7E	0000001B			R	F	L	.	.	.	.	.	.	.
B$STDGET	seg002	000027CE	0000001A	00000006		R	.	L	.	.	.	.	.	.	.
B$STDL	seg002	00001582	0000000D	00000002	00000002	R	F	L	.	.	.	B	.	.	.
B$STDPUT	seg002	0000333A	00000019	00000006		R	.	L	.	.	.	.	.	.	.
B$STI2	seg002	0000140E	0000000F	00000002	00000002	R	F	L	.	.	.	B	.	.	.
B$STI4	seg002	0000141D	0000000F	00000002	00000004	R	F	L	.	.	.	B	.	.	.
B$STRI	seg002	00000AB1	00000010	00000002	00000004	R	F	L	.	.	.	B	.	.	.
B$STRS	seg002	00000AC1	00000019	00000002	00000004	R	F	L	.	.	.	B	.	.	.
B$STRSCAN	seg002	00001E0D	0000003E	00000004		R	.	L	.	.	.	.	.	.	.
B$STRSOUT	seg002	0000324A	000000CB	00000006		R	.	L	.	.	.	.	.	.	.
B$STR_COMMON	seg002	0000142C	00000012	00000002		R	.	L	.	.	.	.	.	.	.
B$SWP8	seg002	000000D4	00000027	00000000	0000000A	R	F	L	.	.	.	B	.	.	.
B$SWPN	seg002	000014C3	0000007E	00000002	0000000C	R	F	L	.	.	.	B	T	.	.
B$SWSD	seg002	00001541	00000034	00000002		R	F	L	.	.	.	B	.	.	.
B$SbScanNext	seg002	00001EFA	0000001D	00000002	00000002	R	F	L	.	.	.	B	.	.	.
B$ScnioDispatch	seg002	0000030B	00000013	00000002		R	.	L	.	.	.	.	.	.	.
B$Screen0	seg002	00004003	00000083	00000000		R	.	L	.	.	.	.	.	.	.
B$ScreenInit	seg002	00003C8E	000000CF			R	.	L	.	.	.	.	.	.	.
B$ScreenN	seg002	00002624	0000001B	00000008		R	.	L	.	.	.	.	.	.	.
B$ScreenOut	seg002	00001686	00000013	00000002		R	.	L	.	.	.	.	.	.	.
B$SeekFromStart	seg002	00002C27	00000004			R	F	L	.	.	.	.	.	.	.
B$SetAdapter	seg002	00003D99	00000143	00000008		R	.	L	.	.	.	.	.	.	.
B$SetLocalNotify	seg005	00000524	0000002F	00000002	00000008	R	F	L	.	.	.	B	.	.	.
B$SlowUsrCsr	seg002	000024A1	00000013			R	.	.	.	.	.	.	.	.	.
B$StrAlcTmpCopy	seg002	000022C8	00000015	00000004		R	.	L	.	.	.	.	.	.	.
B$StrAlcTmpCopySH	seg002	0000217A	0000002F	00000002		R	F	L	.	.	.	.	.	.	.
B$StrDelAllTemps	seg002	000022DD	0000001E	00000004		R	.	L	.	.	.	.	.	.	.
B$StrInit	seg002	00002385	0000004B	00000002		R	.	L	.	.	.	.	.	.	.
B$StrPutZ	seg002	0000222D	0000002D	00000002		R	.	L	.	.	.	.	.	.	.
B$StrRefreshDsSi	seg002	00002155	00000025			R	.	L	.	.	.	.	.	.	.
B$TERM	seg002	00000F6D	00000016	00000002		R	F	L	.	.	.	.	.	.	.
B$TEST_CLOSE	seg002	000011F3	00000037	00000004		R	.	L	.	.	.	.	.	.	.
B$TIMR	seg002	00001C1C	00000043	00000002		R	F	L	.	.	.	B	.	.	.
B$TTYGetChar	seg002	000034BF	0000000A			R	.	L	.	.	.	.	.	.	.
B$TTYIN	seg002	000034C9	00000088			R	.	L	.	.	.	.	.	.	.
B$TTYST	seg002	00003497	00000028	00000002		R	.	L	.	.	.	.	.	.	.
B$TTY_GPOS	seg002	000017EC	00000012			R	.	L	.	.	.	.	.	.	.
B$TTY_GWID	seg002	000017FE	00000005			R	.	L	.	.	.	.	.	.	.
B$TTY_SINP	seg002	00003478	0000001B			R	.	L	.	.	.	.	.	.	.
B$TTY_SOUT	seg002	00001699	00000063	00000004		R	.	L	.	.	.	.	.	.	.
B$TYPSTR	seg002	00002021	00000052			R	.	L	.	.	.	.	.	.	.
B$TransferStack	seg005	000004C9	00000014	00000002	00000004	R	F	L	.	.	.	B	.	.	.
B$UCAS	seg002	00000AF1	00000035	00000000	00000002	R	F	L	.	.	.	B	.	.	.
