function_name	segment	start	length	locals	args_count	R	F	L	M	O	S	B	T	=	X
draw_scanline_to_scrn	seg018	00000016	0000008B	00000002	0000000C	R	F	.	.	.	.	B	T	.	.
draw_sprites	seg017	000014F1	00000076	00000002	0000000C	R	F	.	.	.	.	B	T	.	.
dx_ax_shr_1_byte	seg002	000038C0	00000017			R	.	.	.	.	.	.	.	.	.
enemy_attack_role	seg001	000004A1	00000683	0000005E	00000006	R	F	.	.	.	.	B	T	.	.
enemy_attack_themselves	seg001	00000033	00000409	00000044	00000006	R	F	.	.	.	.	B	.	.	.
enemy_level_scaler	seg000	00002D70	0000003C	00000014	00000006	R	F	.	.	.	.	B	T	.	.
enemy_magical_attack	seg000	00001C71	00000D78	0000007C	0000000A	R	F	.	.	.	.	B	T	.	.
enemy_phisical_attack_role	seg000	00002DAF	00000B1F	00000082	00000008	R	F	.	.	.	.	B	T	.	.
ensure_role_in_map_boundary	seg017	0000000A	00000045	00000002	00000010	R	F	.	.	.	.	B	.	.	.
escape_internal	seg000	00009471	0000029E	0000003C	00000006	R	F	.	.	.	.	B	.	.	.
exchange_palettes	seg021	0000008E	00000024	00000002	0000000C	R	F	.	.	.	.	B	.	.	.
exec_int	seg002	00003B69	00000018			R	F	.	.	.	.	.	.	.	.
fade_in	seg001	0000807A	000000A9	00000016	00000004	R	F	.	.	.	.	B	.	.	.
fade_out	seg001	00007F97	000000E0	0000001A	00000004	R	F	.	.	.	.	B	.	.	.
fcmp_st_st1	seg003	0000006B	00000016	00000002		R	F	.	.	.	.	B	.	.	.
fild_ax	seg003	00000010	00000014	00000000		R	F	.	.	.	.	B	.	.	.
fild_sp_pointto	seg002	00002A38	00000008	00000002		R	.	.	.	.	.	.	.	.	.
fill_data	seg002	00003748	0000000C			R	F	.	.	.	.	.	.	.	.
fill_opr0	seg003	00001356	0000000D			R	.	.	.	.	.	.	.	.	.
fill_opr1_2_3	seg003	00001331	00000025			R	.	.	.	.	.	.	.	.	.
fill_some_struct	seg002	000038DA	0000002B	00000002		R	.	.	.	.	.	.	.	.	.
fill_something	seg002	00002A07	00000031	00000004		R	.	.	.	.	.	.	.	.	.
filter_full_screen	seg007	00000004	0000008D	00000008	00000014	R	F	.	.	.	.	B	.	.	.
find__si_cx__bx_ptr	seg002	000028B9	0000001C	00000002		R	.	.	.	.	.	.	.	.	.
fistp_to_ax	seg003	00000024	00000011	00000004		R	F	.	.	.	.	B	.	.	.
fistp_to_dx_ax	seg003	00000035	00000012	00000006		R	F	.	.	.	.	B	.	.	.
frame_menu	seg000	0000D0C0	000001F9	0000002C	0000000E	R	F	.	.	.	.	B	.	.	.
get_YJ_1_extracted_len_in_words	seg026	00000800	00000019	00000002	00000008	R	F	.	.	.	.	B	T	.	.
get_battlefield_prop	seg001	00008CE1	00000095	0000001E	00000006	R	F	.	.	.	.	B	.	.	.
get_cons_attrib	seg000	0000D819	00000078	00000018	00000006	R	F	.	.	.	.	B	T	.	.
get_enemy_alive	seg000	00002D18	00000055	0000001A		R	F	.	.	.	.	B	.	.	.
get_fbp_two_scene_cat_to_glb_scrn	seg001	0000A803	00000066	00000018	00000004	R	F	.	.	.	.	B	.	.	.
get_gop_id	seg017	00001610	00000044	00000002	00000018	R	F	.	.	.	.	B	.	.	.
get_item_index	seg001	00009A60	00000064	00000018	00000004	R	F	.	.	.	.	B	.	.	.
get_key	seg027	000001A4	00000048	00000002	00000004	R	F	.	.	.	.	B	.	.	.
get_m_msg	seg000	0000BA99	000000B1	0000001C	00000004	R	F	.	.	.	.	B	.	.	.
get_member_alive	seg000	0000A710	0000006E	0000001A		R	F	.	.	.	.	B	.	.	.
get_movie_to_xms	seg001	0000B38B	00000115	0000001E	0000000A	R	F	.	.	.	.	B	T	.	.
get_scene_map_source	seg000	0000BEB8	0000016E	0000002E	00000004	R	F	.	.	.	.	B	.	.	.
get_sprites_curr_scene	seg000	0000BC7D	000001F1	00000024		R	F	.	.	.	.	B	.	.	.
get_subfile_len	seg000	00008F56	000000A7	0000001E	00000005	R	F	.	.	.	.	B	.	.	.
get_the_trigger_event	seg001	0000D587	0000030A	0000002E	00000008	R	F	.	.	.	.	B	T	.	.
get_theurgy_index	seg001	00008A20	00000070	00000018	00000006	R	F	.	.	.	.	B	.	.	.
hockshop_internal	seg001	0000DBBD	000000DD	0000002C		R	F	.	.	.	.	B	.	.	.
i_2BC62	seg022	00000752	0000001D	00000006		R	F	.	.	.	.	.	.	.	.
int34_3b_has_fpu	seg004	00000755	0000004C	00000000	00000008	R	F	.	.	.	.	B	.	.	.
int34_3b_no_fpu	seg004	00000BA0	000001A9	00000000	00000014	R	F	.	.	.	.	B	.	.	.
int_3c_has_fpu	seg004	00000702	0000002D	00000000	00000008	R	F	.	.	.	.	B	.	.	.
int_3c_no_fpu	seg004	00000B5F	00000040	00000002		R	F	.	.	.	.	.	.	.	.
int_3d_has_fpu	seg004	0000072F	00000005	00000000	00000002	R	F	.	.	.	.	.	.	.	.
int_3d_no_fpu	seg004	00000B42	00000015	00000006		R	F	.	.	.	.	B	.	.	.
int_handle_RIX?	seg029	00000CED	0000011E	00000012		R	F	.	.	.	.	.	.	.	.
int_timer	seg003	0000129C	00000025			R	F	.	.	.	.	.	.	.	.
inventory_Equip	seg000	0000129A	000005EF	00000016		R	.	.	.	.	.	B	.	.	.
inventory_Use	seg000	00001889	00000132	00000014		R	.	.	.	.	.	B	.	.	.
is_pause?	seg003	00000EC0	00000007			R	.	.	.	.	.	.	.	.	.
item_list_pack	seg000	0000D628	000000FF	00000018	00000004	R	F	.	.	.	.	B	.	.	.
j_B$ERR_SSC	seg005	000009FF	00000005			R	F	.	.	.	.	.	.	.	.
j_B$NearRetEvent	seg002	00002098	00000003			R	.	.	.	.	.	.	.	.	.
keyboard_interrupt	seg027	0000006E	00000031	00000006		R	F	.	.	.	.	.	.	.	.
learnmagic_internal	seg001	00009BB1	0000027E	0000004A	00000008	R	F	.	.	.	.	B	.	.	.
libfunc_?	seg002	00000687	00000049	00000000	00000008	R	F	.	.	.	.	B	.	.	.
load_MagicEffect_to_decoded_pack	seg000	0000BE71	00000044	00000016		R	F	.	.	.	.	B	.	.	.
load_enemy_pic_pos	seg001	0000A4B6	000001EF	00000028		R	F	.	.	.	.	B	.	.	.
load_enemy_pos	seg001	0000CBBF	000000FE	0000001A		R	F	.	.	.	.	B	.	.	.
load_our_pic	seg001	0000A9B1	00000093	0000001C		R	F	.	.	.	.	B	.	.	.
load_team_mgo	seg000	0000C07D	0000021B	0000001C		R	F	.	.	.	.	B	.	.	.
load_theurgy_data	seg000	0000EA9F	0000005B	0000001A	00000004	R	F	.	.	.	.	B	.	.	.
load_theurgy_image	seg001	0000A919	00000095	0000001E	00000004	R	F	.	.	.	.	B	.	.	.
load_this_enemy_data	seg000	0000E8F7	000001A5	0000001E	00000006	R	F	.	.	.	.	B	.	.	.
magic_sub	seg002	00003894	0000002C	0000000C		R	.	.	.	.	.	.	.	.	.
make_dialog_frame	seg000	0000EF40	000000AE	0000001C	0000000A	R	F	.	.	.	.	B	T	.	.
menu_Inventory	seg000	0000123D	0000005D	00000000		R	.	.	.	.	.	.	.	.	.
menu_Magic	seg000	00001034	00000209	00000014		R	.	.	.	.	.	B	.	.	.
menu_Magic_selecting	seg000	0000484C	000000FD	00000020	00000008	R	F	.	.	.	.	B	T	.	.
menu_Status	seg000	0000102E	00000006			R	.	.	.	.	.	.	.	.	.
menu_Status_internal	seg001	0000C6DF	0000005B	00000014		R	F	.	.	.	.	B	.	.	.
menu_System	seg000	000019BB	00000054	00000000		R	.	.	.	.	.	.	.	.	.
menu_loop	seg000	000045C4	00000077	0000001A	0000000E	R	F	.	.	.	.	B	.	.	.
menu_select	seg000	0000463E	0000020B	00000038	0000000C	R	F	.	.	.	.	B	.	.	.
midi_timer_dispatch	seg003	0000137D	00000018			R	F	.	.	.	.	.	.	.	.
morph?	seg000	0000B969	0000012D	00000026	00000006	R	F	.	.	.	.	B	.	.	.
move_usable_screen	seg000	0000F65D	000003F4	00000052		R	F	.	.	.	.	B	.	.	.
my_int_2	seg004	00002562	0000001E			R	F	.	.	.	.	.	.	.	.
my_int_23	seg004	0000254A	00000018	00000006		R	.	.	.	.	.	.	.	.	.
new_int_23	seg006	00000033	00000001			R	F	.	.	.	.	.	.	.	.
nullsub_10	seg003	000012D3	00000001			R	F	.	.	.	.	.	.	.	.
nullsub_11	seg003	0000132E	00000001			R	.	.	.	.	.	.	.	.	.
nullsub_12	seg003	0000132F	00000001			R	.	.	.	.	.	.	.	.	.
nullsub_13	seg003	00001330	00000001			R	.	.	.	.	.	.	.	.	.
nullsub_3	seg022	000005DD	00000001			R	.	.	.	.	.	.	.	.	.
nullsub_6	seg005	00000A04	00000001			R	F	.	.	.	.	.	.	.	.
nullsub_7	seg003	0000132B	00000001			R	.	.	.	.	.	.	.	.	.
nullsub_8	seg003	0000132C	00000001			R	.	.	.	.	.	.	.	.	.
nullsub_9	seg003	0000132D	00000001			R	.	.	.	.	.	.	.	.	.
or_seg0_1_2E	seg002	00001A36	0000004D	00000002		R	F	.	.	.	.	.	.	.	.
our_team_setdraw	seg000	0000F0E5	000000CD	00000020		R	F	.	.	.	.	B	.	.	.
output_levelup?	seg001	0000A257	0000025C	0000005C	00000006	R	F	.	.	.	.	B	.	.	.
overlay_palette_by_24colors	seg021	0000014F	00000031	00000002	0000000C	R	F	.	.	.	.	B	.	.	.
overlay_palette_by_3colors	seg021	00000180	0000002F	00000002	00000008	R	F	.	.	.	.	B	.	.	.
palette_filter_fading	seg001	00007ED8	000000BC	00000018	00000004	R	F	.	.	.	.	B	.	.	.
parse_RNG_data_draw	seg031	0000016F	00000215	00000002	00000004	R	F	.	.	.	.	B	.	.	.
playCD	seg003	00000E57	0000004B			R	.	.	.	.	.	.	.	.	.
playRNG_impl	seg001	0000E601	00000226	00000034	00000008	R	F	.	.	.	.	B	.	.	.
play_all_kinds_music	seg001	0000C05F	000000D4	0000001E	00000008	R	F	.	.	.	.	B	.	.	.
play_rix_music	seg001	0000C136	00000107	00000022	00000006	R	F	.	.	.	.	B	.	.	.
play_sfx_internal	seg001	0000C240	0000006E	00000014	00000004	R	F	.	.	.	.	B	.	.	.
pre_fill_struct	seg002	000038D7	00000003			R	.	.	.	.	.	.	.	.	.
process_AutoScript	seg001	0000D894	00000326	0000002A	00000006	R	F	.	.	.	.	B	T	.	.
process_Battle	seg000	000051AB	00003DA8	00006778	00000006	R	F	.	.	.	.	B	.	.	.
process_Explore	seg000	00001B65	00000109	00000014		R	.	.	.	.	.	B	.	.	.
process_Key	seg001	00001116	00000203	0000001E	00000006	R	F	.	.	.	.	B	T	.	.
process_Menu	seg000	00000FAB	00000083	00000000		R	.	.	.	.	.	.	.	.	.
process_Script	seg000	0000C921	00000674	00000056	00000006	R	F	.	.	.	.	B	T	.	.
process_scripts	seg001	00002702	000057D3	0000026A	0000000E	R	F	.	.	.	.	B	T	.	.
produce_one_screen_map	seg000	0000EC5A	000000DA	0000001C		R	F	.	.	.	.	B	.	.	.
read_from_screen	seg012	0000001D	00000020	00000002	00000004	R	F	.	.	.	.	B	.	.	.
read_mgo_subfile_to_glb_1	seg000	0000C029	00000051	00000016	00000004	R	F	.	.	.	.	B	.	.	.
read_mkf_to_xms	seg000	0000BBA3	000000D7	0000001A	00000006	R	F	.	.	.	.	B	T	.	.
read_palette	seg001	0000B0BC	00000056	00000018	00000004	R	F	.	.	.	.	B	.	.	.
read_subfile	seg000	0000C29B	00000174	00000022	00000006	R	F	.	.	.	.	B	T	.	.
read_voc_to_xms_leaving	seg001	0000CCC0	000000BF	0000001C		R	F	.	.	.	.	B	.	.	.
real_entry	seg000	00000030	00000E24	00000014		R	.	.	.	.	.	B	.	.	.
record_step	seg001	0000CF50	00000058	00000000		R	F	.	.	.	.	B	.	.	.
redraw_everything	seg000	0000EDDA	0000007A	00000018	00000004	R	F	.	.	.	.	B	.	.	.
redraw_tile	seg000	0000F483	000001D7	00000028	0000000E	R	F	.	.	.	.	B	T	.	.
release_resources_exit	seg001	00008444	000000FF	00000022		R	F	.	.	.	.	B	.	.	.
replace_IRQ_handle	seg022	00000428	00000042			R	.	.	.	.	.	.	.	.	.
replace_int_23	seg006	00000006	0000002D	0000000A		R	F	.	.	.	.	.	.	.	.
replace_interrupt_2_23	seg004	0000250A	0000002F	00000004		R	.	.	.	.	.	.	.	.	.
replace_interrupt_time	seg003	000012E7	00000028	0000000A		R	.	.	.	.	.	.	.	.	.
replace_interrupts	seg004	0000011D	00000048			R	.	L	.	.	.	.	.	.	.
replace_keyboard_interrupt	seg027	0000000A	0000003F	00000008		R	F	.	.	.	.	.	.	.	.
replace_timer_interrupt	seg029	0000144B	00000035	00000004		R	F	.	.	.	.	.	.	.	.
restore_IRQ_handle	seg022	0000046A	00000031			R	.	.	.	.	.	.	.	.	.
restore_int_23	seg004	00002539	00000011	00000006		R	.	.	.	.	.	.	.	.	.
restore_int_34	seg004	00000165	00000016			R	.	L	.	.	.	.	.	.	.
restore_int_timer	seg003	0000130F	0000001C	00000006		R	.	.	.	.	.	.	.	.	.
restore_keyboard_interrupt	seg027	00000049	00000025	00000004		R	F	.	.	.	.	.	.	.	.
restore_screen	seg001	0000C2B1	0000003D	00000016		R	F	.	.	.	.	B	.	.	.
restore_timer_interrupt	seg029	00001480	00000023	00000002		R	F	.	.	.	.	.	.	.	.
rix_load?	seg001	0000AF9E	0000011B	0000002C	00000004	R	F	.	.	.	.	B	.	.	.
role_attack_all?	seg001	000094DA	00000583	00000056	00000006	R	F	.	.	.	.	B	.	.	.
role_phisical_attack	seg000	0000AB60	000005CA	0000004C	0000000A	R	F	.	.	.	.	B	T	.	.
role_restore_position	seg001	00008D79	00000084	00000000	00000004	R	F	.	.	.	.	B	.	.	.
role_status_determine	seg001	00008E00	000000ED	00000016	00000004	R	F	.	.	.	.	B	.	.	.
save_evt_obj_curr_scene	seg001	0000F75B	0000007B	0000001A		R	F	.	.	.	.	B	.	.	.
scanline_draw_normal_scene	seg000	0000D3B1	0000013C	00000016	00000004	R	F	.	.	.	.	B	.	.	.
seek_char_pos	seg019	000000EB	00000028	00000002	0000000C	R	F	.	.	.	.	B	.	.	.
seg4d_0_parse_env	seg004	0000004C	00000098	00000002		R	.	L	.	.	.	.	.	.	.
seg4d_1_initfpu	seg004	000000F4	0000000F			R	.	L	.	.	.	.	.	.	.
seg4d_2_restore_ints_fninit	seg004	000000E4	00000010			R	.	L	.	.	.	.	.	.	.
seg4d_3_fill_seg33_0_2	seg004	00000115	00000008			R	.	L	.	.	.	.	.	.	.
seg4d_4_fldcw_ax	seg004	000005F2	00000019			R	.	.	.	.	.	.	.	.	.
seg4d_5_get_saved_1332	seg004	0000060B	00000004			R	.	.	.	.	.	.	.	.	.
seg4d_6_round_int	seg004	0000062D	00000045			R	.	.	.	.	.	.	.	.	.
seg4d_7	seg004	00000672	00000066			R	.	.	.	.	.	.	.	.	.
seg4d_8	seg004	0000060F	0000001E			R	.	.	.	.	.	.	.	.	.
seg4d_9_fpu_clearexception	seg004	00000103	00000012			R	.	L	.	.	.	.	.	.	.
seg4d_a	seg004	0000017B	0000003F	0000000E		R	.	L	.	.	.	.	.	.	.
seg4d_b	seg004	000001BA	00000005			R	.	L	.	.	.	.	.	.	.
seg4d_c	seg004	000001BF	00000004			R	.	L	.	.	.	.	.	.	.
select_RPG_internal	seg001	00001BF6	0000029B	00000050		R	F	.	.	.	.	B	.	.	.
select_a_live_role_randomly	seg000	0000EEB4	00000089	00000016		R	F	.	.	.	.	B	.	.	.
select_an_enemy_randomly	seg000	0000EE57	0000005A	00000016		R	F	.	.	.	.	B	.	.	.
select_item_with_filter	seg000	00004AA1	00000707	00000082	00000008	R	F	.	.	.	.	B	T	.	.
select_targeting_enemy	seg000	00003CD8	00000141	00000024		R	F	.	.	.	.	B	.	.	.
select_thurgy	seg000	00003E1C	000006E1	0000007E	00000008	R	F	.	.	.	.	B	.	.	.
setMovie_impl	seg001	0000B115	000000C3	00000018	00000004	R	F	.	.	.	.	B	.	.	.
set_DeRLE_rect	seg024	000003F4	0000002E	00000002	00000010	R	F	.	.	.	.	B	T	.	.
set_draw_sprite_calc_envelop	seg001	000085EC	00000431	0000004C	0000000E	R	F	.	.	.	.	B	T	.	.
set_effective_Y	seg017	0000145E	00000015	00000002	00000004	R	F	.	.	.	.	B	.	.	.
set_palette	seg029	000015A5	00000040	00000002	00000004	R	F	.	.	.	.	B	T	.	.
set_time_gap	seg003	00001363	00000014	00000006		R	.	.	.	.	.	.	.	.	.
set_time_gap_12_5	seg003	00001377	00000006			R	.	.	.	.	.	.	.	.	.
set_video_addr	seg018	00000008	0000000E	00000002	00000002	R	F	.	.	.	.	B	.	.	.
setup_MIDI?	seg003	00000CE8	000000FB	00000002	0000000C	R	F	.	.	.	.	B	T	.	.
setup_RIX?	seg029	0000001E	00000030	00000002	0000000C	R	F	.	.	.	.	B	.	.	.
setup_our_team_data_things	seg001	0000CD82	000001CB	00000020		R	F	.	.	.	.	B	.	.	.
setup_role_status	seg000	00009712	0000022D	00000020		R	F	.	.	.	.	B	.	.	.
sfx_func?	seg022	0000000E	000000AD	00000002	00000008	R	F	.	.	.	.	B	.	.	.
shop_internal	seg001	000013EB	000005BF	00000098	00000004	R	F	.	.	.	.	B	.	.	.
show_curr_money_num	seg000	0000D9A4	00000113	00000022	0000000A	R	F	.	.	.	.	B	T	.	.
show_current_money	seg000	0000D894	000000E0	00000028	0000000C	R	F	.	.	.	.	B	T	.	.
show_face	seg001	0000E541	000000BD	00000022	00000008	R	F	.	.	.	.	B	T	.	.
show_fbp	seg000	0000EFF1	000000F1	00000026	00000006	R	F	.	.	.	.	B	T	.	.
show_item_created	seg001	0000A722	000000DE	00000022	00000004	R	F	.	.	.	.	B	.	.	.
show_number	seg000	0000DABA	000000DF	0000001E	0000000A	R	F	.	.	.	.	B	T	.	.
show_pointer	seg000	0000E374	000000C4	0000001A	00000006	R	F	.	.	.	.	B	T	.	.
show_role_status	seg001	0000DE2E	00000710	000000A8	00000004	R	F	.	.	.	.	B	.	.	.
show_status_bar	seg000	0000A781	000003DC	00000054		R	F	.	.	.	.	B	.	.	.
show_stauts_numbers	seg000	0000F1B5	000002CB	00000044	0000000A	R	F	.	.	.	.	B	T	.	.
show_text_shadow	seg000	0000DF63	0000007C	0000001A	0000000A	R	F	.	.	.	.	B	.	.	.
show_white_number	seg000	0000D977	0000002A	00000014	0000000A	R	F	.	.	.	.	B	.	.	.
soft_FPU?	seg004	00001BD9	00000043			R	.	.	.	.	.	.	.	.	.
some_adjust_on_enemy_02468_unknown	seg000	000029EC	00000132	00000026	00000004	R	F	.	.	.	.	B	.	.	.
split_scrn_to_scanlines_in_redraw	seg018	000000B9	000001D3	00000002	00000020	R	F	.	.	.	.	B	T	.	.
sprites_sort	seg017	00001567	000000A9	00000000		R	.	.	.	.	.	.	.	.	.
st0_op_al	seg002	00001C5F	00000021	00000004		R	.	L	.	.	.	.	.	.	.
start	seg003	0000042C	000000B3			R	F	.	.	.	.	.	.	.	.
sth_about_equip	seg002	00003EDC	00000060			R	.	L	.	.	.	.	.	.	.
stop_CD	seg003	00001011	0000001F			R	.	.	.	.	.	.	.	.	.
stop_and_update_frame	seg001	0000E82A	00000157	0000001A		R	F	.	.	.	.	B	.	.	.
store_step	seg020	0000000A	00000030	00000002	00000004	R	F	.	.	.	.	B	T	.	.
store_team_frame_data	seg001	0000C351	0000038B	0000002E		R	F	.	.	.	.	B	.	.	.
sub_10941	seg001	00000EE1	00000150	00000038	00000004	R	F	.	.	.	.	B	.	.	.
sub_10D7C	seg001	0000131C	000000CC	00000014	0000000A	R	F	.	.	.	.	B	.	.	.
sub_118F4	seg001	00001E94	0000050B	00000070	0000000A	R	F	.	.	.	.	B	.	.	.
sub_11E02	seg001	000023A2	000001D1	00000040	00000004	R	F	.	.	.	.	B	.	.	.
sub_17FA6	seg001	00008546	00000026	00000014		R	F	.	.	.	.	B	.	.	.
sub_18950	seg001	00008EF0	000000D7	00000018	00000004	R	F	.	.	.	.	B	.	.	.
sub_18A2A	seg001	00008FCA	0000050D	00000056	00000006	R	F	.	.	.	.	B	.	.	.
sub_1AC3B	seg001	0000B1DB	000001AD	0000003A	00000004	R	F	.	.	.	.	B	.	.	.
sub_1B98A	seg001	0000BF2A	00000047	00000014	00000004	R	F	.	.	.	.	B	.	.	.
sub_1F362	seg002	00000032	00000055	00000004		R	.	.	.	.	.	.	.	.	.
sub_1F48C	seg002	0000015C	00000007	0000000A		R	.	L	.	.	.	.	.	.	.
sub_1F653	seg002	00000323	00000006			R	.	.	.	.	.	.	.	.	.
sub_1F866	seg002	00000536	00000015			R	.	L	.	.	.	.	.	.	.
sub_1F87B	seg002	0000054B	00000035			R	.	L	.	.	.	.	.	.	.
sub_1F972	seg002	00000642	0000001E			R	.	.	.	.	.	.	.	.	.
sub_1FA37	seg002	00000707	00000020	00000000		R	.	.	.	.	.	.	.	.	.
sub_1FA57	seg002	00000727	0000000A			R	.	.	.	.	.	.	.	.	.
sub_1FA78	seg002	00000748	000000B0	00000000		R	.	L	.	.	.	.	.	.	.
sub_1FB3A	seg002	0000080A	00000051			R	F	L	.	.	.	.	.	.	.
sub_1FBF8	seg002	000008C8	00000026	00000002		R	.	L	.	.	.	.	.	.	.
sub_1FD49	seg002	00000A19	0000000A	00000002	00000004	R	.	L	.	.	.	B	.	.	.
sub_1FD53	seg002	00000A23	0000006D			R	F	L	.	.	.	.	.	.	.
sub_1FDCF	seg002	00000A9F	00000012			R	.	L	.	.	.	.	.	.	.
sub_1FF92	seg002	00000C62	00000012	00000004		R	.	.	.	.	.	.	.	.	.
sub_2028D	seg002	00000F5D	00000010			R	.	L	.	.	.	.	.	.	.
sub_20A4E	seg002	0000171E	0000003E	00000002		R	.	L	.	.	.	.	.	.	.
sub_20A9E	seg002	0000176E	0000000B			R	.	.	.	.	.	.	.	.	.
sub_20AA9	seg002	00001779	00000013			R	.	.	.	.	.	.	.	.	.
sub_20AC5	seg002	00001795	00000011			R	.	.	.	.	.	.	.	.	.
sub_20AD6	seg002	000017A6	00000022			R	.	.	.	.	.	.	.	.	.
sub_20AF8	seg002	000017C8	00000012			R	.	L	.	.	.	.	.	.	.
sub_20B0A	seg002	000017DA	00000012			R	.	L	.	.	.	.	.	.	.
sub_20F04	seg002	00001BD4	00000049			R	.	.	.	.	.	.	.	.	.
sub_20FB0	seg002	00001C80	00000006	00000002		R	F	L	.	.	.	B	.	.	.
sub_2100B	seg002	00001CDB	00000006	00000002		R	F	L	.	.	.	B	.	.	.
sub_213FE	seg002	000020CE	0000002F			R	.	.	.	.	.	.	.	.	.
sub_21700	seg002	000023D0	0000001A	0000000A		R	.	.	.	.	.	.	.	.	.
sub_2185D	seg002	0000252D	000000C3			R	.	.	.	.	.	.	.	.	.
sub_21B92	seg002	00002862	00000007	00000002		R	.	.	.	.	.	.	.	.	.
sub_21B99	seg002	00002869	00000050	00000002		R	.	.	.	.	.	.	.	.	.
sub_21C5E	seg002	0000292E	00000015	00000002		R	F	.	.	.	.	.	.	.	.
sub_21C73	seg002	00002943	00000069			R	.	.	.	.	.	.	.	.	.
sub_21CDC	seg002	000029AC	0000000A			R	.	.	.	.	.	.	.	.	.
sub_21CE6	seg002	000029B6	00000031	00000006		R	.	.	.	.	.	.	.	.	.
sub_21D17	seg002	000029E7	00000020	00000002	00000002	R	.	.	.	.	.	B	.	.	.
sub_21D70	seg002	00002A40	0000000B	00000004		R	.	.	.	.	.	.	.	.	.
sub_21D7B	seg002	00002A4B	00000010			R	.	.	.	.	.	.	.	.	.
sub_21D8B	seg002	00002A5B	00000033			R	F	.	.	.	.	.	.	.	.
sub_22223	seg002	00002EF3	0000000E			R	.	.	.	.	.	.	.	.	.
sub_223B5	seg002	00003085	0000002B			R	.	L	.	.	.	.	.	.	.
sub_223E0	seg002	000030B0	00000009			R	.	L	.	.	.	.	.	.	.
sub_223E9	seg002	000030B9	00000007			R	.	L	.	.	.	.	.	.	.
sub_22A27	seg002	000036F7	00000008			R	.	.	.	.	.	.	.	.	.
sub_22AF1	seg002	000037C1	00000030			R	F	.	.	.	.	.	.	.	.
sub_22B21	seg002	000037F1	00000032	00000006		R	F	.	.	.	.	.	.	.	.
sub_22B53	seg002	00003823	0000002F	00000004		R	.	.	.	.	.	.	.	.	.
sub_22B82	seg002	00003852	0000001F	00000002		R	.	.	.	.	.	.	.	.	.
sub_22BA1	seg002	00003871	00000008			R	.	.	.	.	.	.	.	.	.
sub_22BA9	seg002	00003879	0000000C			R	.	.	.	.	.	.	.	.	.
sub_22C35	seg002	00003905	00000013	00000004		R	.	.	.	.	.	.	.	.	.
sub_22C48	seg002	00003918	00000017			R	F	.	.	.	.	.	.	.	.
sub_22C5F	seg002	0000392F	00000057	0000000C		R	F	.	.	.	.	.	.	.	.
sub_22CB6	seg002	00003986	00000021	00000004		R	.	.	.	.	.	.	.	.	.
sub_22CD7	seg002	000039A7	0000005A	00000004		R	.	.	.	.	.	.	.	.	.
sub_22D31	seg002	00003A01	00000014	00000004		R	.	.	.	.	.	.	.	.	.
sub_22D45	seg002	00003A15	00000046	0000000C		R	.	.	.	.	.	.	.	.	.
sub_22D8B	seg002	00003A5B	0000000E			R	.	.	.	.	.	.	.	.	.
sub_22D99	seg002	00003A69	0000000C			R	.	.	.	.	.	.	.	.	.
sub_22DA5	seg002	00003A75	00000003	00000002		R	.	.	.	.	.	.	.	.	.
sub_22DA8	seg002	00003A78	00000021	00000002		R	.	.	.	.	.	.	.	.	.
sub_22DC9	seg002	00003A99	00000020	00000002		R	.	.	.	.	.	.	.	.	.
sub_22DE9	seg002	00003AB9	00000007	00000002		R	.	.	.	.	.	.	.	.	.
sub_22E15	seg002	00003AE5	00000029	00000002	00000004	R	F	.	.	.	.	B	.	.	.
sub_22E3E	seg002	00003B0E	0000000B			R	.	.	.	.	.	.	.	.	.
sub_22E49	seg002	00003B19	0000001E	00000002		R	.	.	.	.	.	.	.	.	.
sub_22E67	seg002	00003B37	00000032	00000002		R	F	.	.	.	.	.	.	.	.
sub_233EE	seg002	000040BE	00000058			R	.	L	.	.	.	.	.	.	.
sub_23446	seg002	00004116	00000004			R	.	L	.	.	.	.	.	.	.
sub_2344A	seg002	0000411A	0000006A			R	.	L	.	.	.	.	.	.	.
sub_234B4	seg002	00004184	00000010			R	.	L	.	.	.	.	.	.	.
sub_234C4	seg002	00004194	00000020			R	.	L	.	.	.	.	.	.	.
sub_234E4	seg002	000041B4	00000095			R	.	L	.	.	.	.	.	.	.
sub_23B87	seg003	00000047	00000024	00000006		R	F	.	.	.	.	B	.	.	.
sub_23C5D	seg003	0000011D	00000019			R	F	L	.	.	.	.	.	.	.
sub_2401F	seg003	000004DF	0000000F			R	F	.	.	.	.	.	.	.	.
sub_241D0	seg003	00000690	00000006	00000002		R	F	.	.	.	.	.	.	.	.
sub_241D6	seg003	00000696	0000008E			R	.	.	.	.	.	.	.	.	.
sub_24299	seg003	00000759	00000073			R	.	.	.	.	.	.	.	.	.
sub_242D7	seg003	00000797	00000041			R	.	.	.	.	.	.	.	.	.
sub_24318	seg003	000007D8	00000124			R	.	.	.	.	.	.	.	.	.
sub_2443C	seg003	000008FC	000000AA			R	.	.	.	.	.	.	.	.	.
sub_244E6	seg003	000009A6	00000016	00000006		R	.	.	.	.	.	.	.	.	.
sub_244FC	seg003	000009BC	00000009			R	.	.	.	.	.	.	.	.	.
sub_24540	seg003	00000A00	00000075			R	.	.	.	.	.	.	.	.	.
sub_2457A	seg003	00000A3A	00000022			R	.	.	.	.	.	.	.	.	.
sub_2459F	seg003	00000A5F	00000020			R	.	.	.	.	.	.	.	.	.
