（修改版地址）（原装版地址）（第４部分地址）指令（参１|参２|参３）
（0x0003B9FC）（0x0003AE58）（0x000026D0）：7300（0300|    |    ）
（0x0003C58C）（0x0003B9E8）（0x00003260）：7300（    |    |    ）
（0x0003D70C）（0x0003CB68）（0x000043E0）：7300（0400|    |    ）
（0x0003F94C）（0x0003EDA8）（0x00006620）：7300（0400|4800|    ）
（0x0003FA1C）（0x0003EE78）（0x000066F0）：7300（0400|4800|    ）
（0x0003FA84）（0x0003EEE0）（0x00006758）：7300（0400|4800|    ）
（0x000414B4）（0x00040910）（0x00008188）：7300（0300|4800|    ）
（0x000414F4）（0x00040950）（0x000081C8）：7300（0200|    |    ）
（0x00041A1C）（0x00040E78）（0x000086F0）：7300（0200|    |    ）
（0x000431D4）（0x00042630）（0x00009EA8）：7300（    |    |    ）
（0x0004336C）（0x000427C8）（0x0000A040）：7300（    |    |    ）
（0x00046434）（0x00045890）（0x0000D108）：7300（0200|    |    ）
（0x0004A074）（0x000494D0）（0x00010D48）：7300（0200|    |    ）
（0x0004A934）（0x00049D90）（0x00011608）：7300（    |    |    ）
（0x0004ABBC）（0x0004A018）（0x00011890）：7300（0200|    |    ）
（0x0004B14C）（0x0004A5A8）（0x00011E20）：7300（0300|    |    ）
（0x0004BA0C）（0x0004AE68）（0x000126E0）：7300（0200|    |    ）
（0x00058514）（0x00057970）（0x0001F1E8）：7300（    |3C00|    ）
（0x000585FC）（0x00057A58）（0x0001F2D0）：7300（    |    |    ）
（0x000589AC）（0x00057E08）（0x0001F680）：7300（    |    |    ）
（0x00058E04）（0x00058260）（0x0001FAD8）：7300（0200|    |    ）
（0x00059384）（0x000587E0）（0x00020058）：7300（    |    |    ）
（0x0005A0F4）（0x00059550）（0x00020DC8）：7300（0500|    |    ）
（0x0005E66C）（0x0005DAC8）（0x00025340）：7300（    |    |    ）
（0x0006C0EC）（0x0006B548）（0x00032DC0）：7300（0100|    |    ）
（0x0006C4EC）（0x0006B948）（0x000331C0）：7300（0200|    |    ）
（0x0006C6EC）（0x0006BB48）（0x000333C0）：7300（0200|3C00|    ）
（0x0006CB6C）（0x0006BFC8）（0x00033840）：7300（0500|    |    ）
（0x0006CB9C）（0x0006BFF8）（0x00033870）：7300（0700|3600|    ）
（0x0006D524）（0x0006C980）（0x000341F8）：7300（0300|4600|    ）
（0x0006E104）（0x0006D560）（0x00034DD8）：7300（    |    |    ）
（0x0006E17C）（0x0006D5D8）（0x00034E50）：7300（    |    |    ）
（0x0006F4E4）（0x0006E940）（0x000361B8）：7300（    |    |    ）
（0x0006F60C）（0x0006EA68）（0x000362E0）：7300（    |    |    ）
（0x0006F6FC）（0x0006EB58）（0x000363D0）：7300（0200|    |    ）
（0x0006F7FC）（0x0006EC58）（0x000364D0）：7300（0300|    |    ）
（0x0006F834）（0x0006EC90）（0x00036508）：7300（    |    |    ）
（0x0006FB14）（0x0006EF70）（0x000367E8）：7300（0300|    |    ）
（0x0006FF1C）（0x0006F378）（0x00036BF0）：7300（    |    |    ）
（0x00070134）（0x0006F590）（0x00036E08）：7300（    |    |    ）
（0x000704C4）（0x0006F920）（0x00037198）：7300（    |    |    ）
（0x000704DC）（0x0006F938）（0x000371B0）：7300（    |    |    ）
（0x00072094）（0x000714F0）（0x00038D68）：7300（0600|    |    ）
（0x0007216C）（0x000715C8）（0x00038E40）：7300（0600|    |    ）
（0x000721DC）（0x00071638）（0x00038EB0）：7300（0600|    |    ）
（0x00072534）（0x00071990）（0x00039208）：7300（0200|    |    ）
（0x0007275C）（0x00071BB8）（0x00039430）：7300（    |    |    ）
（0x0007277C）（0x00071BD8）（0x00039450）：7300（    |    |    ）
（0x000727CC）（0x00071C28）（0x000394A0）：7300（    |    |    ）
（0x000757EC）（0x00074C48）（0x0003C4C0）：7300（0400|    |    ）
（0x0007769C）（0x00076AF8）（0x0003E370）：7300（    |    |    ）
（0x00077984）（0x00076DE0）（0x0003E658）：7300（0200|    |    ）
（0x00077CC4）（0x00077120）（0x0003E998）：7300（    |    |    ）
（0x00077CFC）（0x00077158）（0x0003E9D0）：7300（    |    |    ）
（0x00077D8C）（0x000771E8）（0x0003EA60）：7300（0200|    |    ）
（0x00078044）（0x000774A0）（0x0003ED18）：7300（    |    |    ）
（0x0007BEBC）（0x0007B318）（0x00042B90）：7300（0200|    |    ）
（0x0007C3E4）（0x0007B840）（0x000430B8）：7300（    |    |    ）
（0x0007CDA4）（0x0007C200）（0x00043A78）：7300（0200|    |    ）
（0x0007D1C4）（0x0007C620）（0x00043E98）：7300（0400|5000|    ）
（0x00080A34）（0x0007FE90）（0x00047708）：7300（    |    |    ）
（0x00080A7C）（0x0007FED8）（0x00047750）：7300（0200|    |    ）
（0x00080B9C）（0x0007FFF8）（0x00047870）：7300（0200|    |    ）
（0x00080DAC）（0x00080208）（0x00047A80）：7300（    |    |    ）
（0x00080FB4）（0x00080410）（0x00047C88）：7300（    |    |    ）
（0x00080FC4）（0x00080420）（0x00047C98）：7300（0200|    |    ）
（0x00080FF4）（0x00080450）（0x00047CC8）：7300（0400|    |    ）
（0x000828B4）（0x00081D10）（0x00049588）：7300（0200|    |    ）
（0x0008381C）（0x00082C78）（0x0004A4F0）：7300（0400|    |    ）
（0x000838B4）（0x00082D10）（0x0004A588）：7300（0300|    |    ）
（0x0008470C）（0x00083B68）（0x0004B3E0）：7300（0500|    |    ）
（0x00086E9C）（0x000862F8）（0x0004DB70）：7300（0200|    |    ）
