（修改版地址）（原装版地址）（第４部分地址）指令（参１|参２|参３）
（0x0003C884）（0x0003BCE0）（0x00003558）：2200（    |0A00|    ）
（0x00046E04）（0x00046260）（0x0000DAD8）：2200（0100|0A00|    ）
（0x000484C4）（0x00047920）（0x0000F198）：2200（0100|0A00|    ）
（0x0005AE8C）（0x0005A2E8）（0x00021B60）：2200（0100|0A00|    ）
（0x00063084）（0x000624E0）（0x00029D58）：2200（0100|0A00|    ）
（0x0006A894）（0x00069CF0）（0x00031568）：2200（0100|0A00|    ）
（0x0006DCFC）（0x0006D158）（0x000349D0）：2200（0100|0A00|    ）
（0x0006FC74）（0x0006F0D0）（0x00036948）：2200（0100|0500|    ）
（0x00075B34）（0x00074F90）（0x0003C808）：2200（0100|0A00|    ）
（0x00085D3C）（0x00085198）（0x0004CA10）：2200（    |0500|    ）
（0x00085D4C）（0x000851A8）（0x0004CA20）：2200（    |0A00|    ）
（0x00089ED4）（0x00089330）（0x00050BA8）：2200（0100|0A00|    ）
（0x0008B4EC）（0x0008A948）（0x000521C0）：2200（    |0100|    ）
（0x0008B4FC）（0x0008A958）（0x000521D0）：2200（    |0300|    ）
