（修改版地址）（原装版地址）（第４部分地址）指令（参１|参２|参３）
（0x000749C4）（0x00073E20）（0x0003B698）：3B00（    |    |    ）
（0x00074A14）（0x00073E70）（0x0003B6E8）：3B00（    |    |    ）
（0x00074C24）（0x00074080）（0x0003B8F8）：3B00（    |    |    ）
（0x00075294）（0x000746F0）（0x0003BF68）：3B00（    |    |    ）
（0x00075794）（0x00074BF0）（0x0003C468）：3B00（    |    |    ）
（0x00075D5C）（0x000751B8）（0x0003CA30）：3B00（    |    |    ）
（0x000763E4）（0x00075840）（0x0003D0B8）：3B00（    |    |    ）
（0x00076FF4）（0x00076450）（0x0003DCC8）：3B00（    |    |    ）
（0x00077954）（0x00076DB0）（0x0003E628）：3B00（    |    |    ）
（0x0007798C）（0x00076DE8）（0x0003E660）：3B00（    |    |    ）
（0x00077D94）（0x000771F0）（0x0003EA68）：3B00（    |    |    ）
（0x00078604）（0x00077A60）（0x0003F2D8）：3B00（    |    |    ）
（0x0007884C）（0x00077CA8）（0x0003F520）：3B00（    |    |    ）
（0x00078AD4）（0x00077F30）（0x0003F7A8）：3B00（    |    |    ）
（0x00079164）（0x000785C0）（0x0003FE38）：3B00（    |    |    ）
（0x000792A4）（0x00078700）（0x0003FF78）：3B00（    |    |    ）
（0x00079654）（0x00078AB0）（0x00040328）：3B00（    |    |    ）
（0x00079B2C）（0x00078F88）（0x00040800）：3B00（    |    |    ）
（0x0007A3A4）（0x00079800）（0x00041078）：3B00（    |    |    ）
（0x0007A91C）（0x00079D78）（0x000415F0）：3B00（    |    |    ）
（0x0007E364）（0x0007D7C0）（0x00045038）：3B00（    |    |    ）
（0x0007F604）（0x0007EA60）（0x000462D8）：3B00（    |    |    ）
（0x0007F6E4）（0x0007EB40）（0x000463B8）：3B00（    |    |    ）
（0x0007F794）（0x0007EBF0）（0x00046468）：3B00（    |    |    ）
（0x0008265C）（0x00081AB8）（0x00049330）：3B00（    |    |    ）
（0x0008312C）（0x00082588）（0x00049E00）：3B00（    |    |    ）
（0x0008409C）（0x000834F8）（0x0004AD70）：3B00（    |    |    ）
（0x000846D4）（0x00083B30）（0x0004B3A8）：3B00（    |    |    ）
（0x000847B4）（0x00083C10）（0x0004B488）：3B00（    |    |    ）
（0x00084EF4）（0x00084350）（0x0004BBC8）：3B00（    |    |    ）
（0x00086984）（0x00085DE0）（0x0004D658）：3B00（    |    |    ）
（0x000870E4）（0x00086540）（0x0004DDB8）：3B00（    |    |    ）
（0x00087814）（0x00086C70）（0x0004E4E8）：3B00（    |    |    ）
（0x00089EF4）（0x00089350）（0x00050BC8）：3B00（    |    |    ）
（0x0008B69C）（0x0008AAF8）（0x00052370）：3B00（    |    |    ）
（0x0008B864）（0x0008ACC0）（0x00052538）：3B00（    |    |    ）
