（修改版地址）（原装版地址）（第４部分地址）指令（参１|参２|参３）
（0x000393F4）（0x00038850）（0x000000C8）：3B00（    |    |    ）
（0x0003AEE4）（0x0003A340）（0x00001BB8）：3B00（    |    |    ）
（0x0003C7FC）（0x0003BC58）（0x000034D0）：3B00（    |    |    ）
（0x00040954）（0x0003FDB0）（0x00007628）：3B00（    |    |    ）
（0x00041374）（0x000407D0）（0x00008048）：3B00（    |    |    ）
（0x0004174C）（0x00040BA8）（0x00008420）：3B00（    |    |    ）
（0x000422F4）（0x00041750）（0x00008FC8）：3B00（    |    |    ）
（0x0004230C）（0x00041768）（0x00008FE0）：3B00（    |    |    ）
（0x00042DB4）（0x00042210）（0x00009A88）：3B00（    |    |    ）
（0x00042F44）（0x000423A0）（0x00009C18）：3B00（    |    |    ）
（0x00042FF4）（0x00042450）（0x00009CC8）：3B00（    |    |    ）
（0x00043374）（0x000427D0）（0x0000A048）：3B00（    |    |    ）
（0x000450D4）（0x00044530）（0x0000BDA8）：3B00（    |    |    ）
（0x000451FC）（0x00044658）（0x0000BED0）：3B00（    |    |    ）
（0x0004531C）（0x00044778）（0x0000BFF0）：3B00（    |    |    ）
（0x00045374）（0x000447D0）（0x0000C048）：3B00（    |    |    ）
（0x000455BC）（0x00044A18）（0x0000C290）：3B00（    |    |    ）
（0x000464BC）（0x00045918）（0x0000D190）：3B00（    |    |    ）
（0x00047704）（0x00046B60）（0x0000E3D8）：3B00（    |    |    ）
（0x000477CC）（0x00046C28）（0x0000E4A0）：3B00（    |    |    ）
（0x0004780C）（0x00046C68）（0x0000E4E0）：3B00（    |    |    ）
（0x0004A10C）（0x00049568）（0x00010DE0）：3B00（    |    |    ）
（0x0004B11C）（0x0004A578）（0x00011DF0）：3B00（    |    |    ）
（0x0004B954）（0x0004ADB0）（0x00012628）：3B00（    |    |    ）
（0x0004B9DC）（0x0004AE38）（0x000126B0）：3B00（    |    |    ）
（0x0004BA44）（0x0004AEA0）（0x00012718）：3B00（    |    |    ）
（0x0004C164）（0x0004B5C0）（0x00012E38）：3B00（    |    |    ）
（0x0004D9F4）（0x0004CE50）（0x000146C8）：3B00（    |    |    ）
（0x0004DBAC）（0x0004D008）（0x00014880）：3B00（    |    |    ）
（0x0004F1F4）（0x0004E650）（0x00015EC8）：3B00（    |    |    ）
（0x0004F67C）（0x0004EAD8）（0x00016350）：3B00（    |    |    ）
（0x00050D64）（0x000501C0）（0x00017A38）：3B00（    |    |    ）
（0x0005181C）（0x00050C78）（0x000184F0）：3B00（    |    |    ）
（0x00051AEC）（0x00050F48）（0x000187C0）：3B00（    |    |    ）
（0x00051B24）（0x00050F80）（0x000187F8）：3B00（    |    |    ）
（0x0005459C）（0x000539F8）（0x0001B270）：3B00（    |    |    ）
（0x00054ABC）（0x00053F18）（0x0001B790）：3B00（    |    |    ）
（0x000593BC）（0x00058818）（0x00020090）：3B00（    |    |    ）
（0x0005ACEC）（0x0005A148）（0x000219C0）：3B00（    |    |    ）
（0x0005B044）（0x0005A4A0）（0x00021D18）：3B00（    |    |    ）
（0x00060AD4）（0x0005FF30）（0x000277A8）：3B00（    |    |    ）
（0x00060AF4）（0x0005FF50）（0x000277C8）：3B00（    |    |    ）
（0x000620BC）（0x00061518）（0x00028D90）：3B00（    |    |    ）
（0x000628D4）（0x00061D30）（0x000295A8）：3B00（    |    |    ）
（0x00062F84）（0x000623E0）（0x00029C58）：3B00（    |    |    ）
（0x00062FA4）（0x00062400）（0x00029C78）：3B00（    |    |    ）
（0x00062FD4）（0x00062430）（0x00029CA8）：3B00（    |    |    ）
（0x0006302C）（0x00062488）（0x00029D00）：3B00（    |    |    ）
（0x000630A4）（0x00062500）（0x00029D78）：3B00（    |    |    ）
（0x000630BC）（0x00062518）（0x00029D90）：3B00（    |    |    ）
（0x00065CDC）（0x00065138）（0x0002C9B0）：3B00（    |    |    ）
（0x00066DB4）（0x00066210）（0x0002DA88）：3B00（    |    |    ）
（0x00067D64）（0x000671C0）（0x0002EA38）：3B00（    |    |    ）
（0x00067DAC）（0x00067208）（0x0002EA80）：3B00（    |    |    ）
（0x00067EC4）（0x00067320）（0x0002EB98）：3B00（    |    |    ）
（0x00068024）（0x00067480）（0x0002ECF8）：3B00（    |    |    ）
（0x00068D54）（0x000681B0）（0x0002FA28）：3B00（    |    |    ）
（0x00068D74）（0x000681D0）（0x0002FA48）：3B00（    |    |    ）
（0x00069924）（0x00068D80）（0x000305F8）：3B00（    |    |    ）
（0x00069F64）（0x000693C0）（0x00030C38）：3B00（    |    |    ）
（0x0006A114）（0x00069570）（0x00030DE8）：3B00（    |    |    ）
（0x0006A1CC）（0x00069628）（0x00030EA0）：3B00（    |    |    ）
（0x0006A394）（0x000697F0）（0x00031068）：3B00（    |    |    ）
（0x0006A9D4）（0x00069E30）（0x000316A8）：3B00（    |    |    ）
（0x0006B64C）（0x0006AAA8）（0x00032320）：3B00（    |    |    ）
（0x0006B944）（0x0006ADA0）（0x00032618）：3B00（    |    |    ）
（0x0006B95C）（0x0006ADB8）（0x00032630）：3B00（    |    |    ）
（0x0006BE74）（0x0006B2D0）（0x00032B48）：3B00（    |    |    ）
（0x0006BE94）（0x0006B2F0）（0x00032B68）：3B00（    |    |    ）
（0x0006C084）（0x0006B4E0）（0x00032D58）：3B00（    |    |    ）
（0x0006D5B4）（0x0006CA10）（0x00034288）：3B00（    |    |    ）
（0x0006E9B4）（0x0006DE10）（0x00035688）：3B00（    |    |    ）
（0x0006F104）（0x0006E560）（0x00035DD8）：3B00（    |    |    ）
（0x0006F24C）（0x0006E6A8）（0x00035F20）：3B00（    |    |    ）
（0x0006F4C4）（0x0006E920）（0x00036198）：3B00（    |    |    ）
（0x0006F564）（0x0006E9C0）（0x00036238）：3B00（    |    |    ）
（0x0006F66C）（0x0006EAC8）（0x00036340）：3B00（    |    |    ）
（0x0006FE64）（0x0006F2C0）（0x00036B38）：3B00（    |    |    ）
（0x0006FEF4）（0x0006F350）（0x00036BC8）：3B00（    |    |    ）
（0x00070554）（0x0006F9B0）（0x00037228）：3B00（    |    |    ）
（0x00070744）（0x0006FBA0）（0x00037418）：3B00（    |    |    ）
（0x000707F4）（0x0006FC50）（0x000374C8）：3B00（    |    |    ）
（0x0007244C）（0x000718A8）（0x00039120）：3B00（    |    |    ）
