（修改版地址）（原装版地址）（第４部分地址）指令（参１|参２|参３）
（0x0003967C）（0x00038AD8）（0x00000350）：0B00（    |    |    ）
（0x00039684）（0x00038AE0）（0x00000358）：0B00（    |    |    ）
（0x0003968C）（0x00038AE8）（0x00000360）：0B00（    |    |    ）
（0x00039694）（0x00038AF0）（0x00000368）：0B00（    |    |    ）
（0x0003981C）（0x00038C78）（0x000004F0）：0B00（    |    |    ）
（0x00039824）（0x00038C80）（0x000004F8）：0B00（    |    |    ）
（0x0003982C）（0x00038C88）（0x00000500）：0B00（    |    |    ）
（0x00039834）（0x00038C90）（0x00000508）：0B00（    |    |    ）
（0x000399DC）（0x00038E38）（0x000006B0）：0B00（    |    |    ）
（0x000399E4）（0x00038E40）（0x000006B8）：0B00（    |    |    ）
（0x000399EC）（0x00038E48）（0x000006C0）：0B00（    |    |    ）
（0x000399F4）（0x00038E50）（0x000006C8）：0B00（    |    |    ）
（0x000399FC）（0x00038E58）（0x000006D0）：0B00（    |    |    ）
（0x00039A04）（0x00038E60）（0x000006D8）：0B00（    |    |    ）
（0x00039A0C）（0x00038E68）（0x000006E0）：0B00（    |    |    ）
（0x00039A14）（0x00038E70）（0x000006E8）：0B00（    |    |    ）
（0x00039A9C）（0x00038EF8）（0x00000770）：0B00（    |    |    ）
（0x00039AAC）（0x00038F08）（0x00000780）：0B00（    |    |    ）
（0x00039AB4）（0x00038F10）（0x00000788）：0B00（    |    |    ）
（0x00039ABC）（0x00038F18）（0x00000790）：0B00（    |    |    ）
（0x00039AC4）（0x00038F20）（0x00000798）：0B00（    |    |    ）
（0x00039AD4）（0x00038F30）（0x000007A8）：0B00（    |    |    ）
（0x00039CA4）（0x00039100）（0x00000978）：0B00（    |    |    ）
（0x00039CAC）（0x00039108）（0x00000980）：0B00（    |    |    ）
（0x00039CB4）（0x00039110）（0x00000988）：0B00（    |    |    ）
（0x00039CBC）（0x00039118）（0x00000990）：0B00（    |    |    ）
（0x00039CE4）（0x00039140）（0x000009B8）：0B00（    |    |    ）
（0x00039CEC）（0x00039148）（0x000009C0）：0B00（    |    |    ）
（0x00039CF4）（0x00039150）（0x000009C8）：0B00（    |    |    ）
（0x00039CFC）（0x00039158）（0x000009D0）：0B00（    |    |    ）
（0x00039D04）（0x00039160）（0x000009D8）：0B00（    |    |    ）
（0x00039D0C）（0x00039168）（0x000009E0）：0B00（    |    |    ）
（0x00039D34）（0x00039190）（0x00000A08）：0B00（    |    |    ）
（0x00039D3C）（0x00039198）（0x00000A10）：0B00（    |    |    ）
（0x00039D94）（0x000391F0）（0x00000A68）：0B00（    |    |    ）
（0x00039DA4）（0x00039200）（0x00000A78）：0B00（    |    |    ）
（0x00039DAC）（0x00039208）（0x00000A80）：0B00（    |    |    ）
（0x00039DFC）（0x00039258）（0x00000AD0）：0B00（    |    |    ）
（0x00039F5C）（0x000393B8）（0x00000C30）：0B00（    |    |    ）
（0x00039F64）（0x000393C0）（0x00000C38）：0B00（    |    |    ）
（0x00039F6C）（0x000393C8）（0x00000C40）：0B00（    |    |    ）
（0x00039F9C）（0x000393F8）（0x00000C70）：0B00（    |    |    ）
（0x0003A15C）（0x000395B8）（0x00000E30）：0B00（    |    |    ）
（0x0003A164）（0x000395C0）（0x00000E38）：0B00（    |    |    ）
（0x0003A16C）（0x000395C8）（0x00000E40）：0B00（    |    |    ）
（0x0003A174）（0x000395D0）（0x00000E48）：0B00（    |    |    ）
（0x0003A184）（0x000395E0）（0x00000E58）：0B00（    |    |    ）
（0x0003A18C）（0x000395E8）（0x00000E60）：0B00（    |    |    ）
（0x0003A194）（0x000395F0）（0x00000E68）：0B00（    |    |    ）
（0x0003A19C）（0x000395F8）（0x00000E70）：0B00（    |    |    ）
（0x0003A1FC）（0x00039658）（0x00000ED0）：0B00（    |    |    ）
（0x0003A204）（0x00039660）（0x00000ED8）：0B00（    |    |    ）
（0x0003A20C）（0x00039668）（0x00000EE0）：0B00（    |    |    ）
（0x0003A214）（0x00039670）（0x00000EE8）：0B00（    |    |    ）
（0x0003A5DC）（0x00039A38）（0x000012B0）：0B00（    |    |    ）
（0x0003A76C）（0x00039BC8）（0x00001440）：0B00（    |    |    ）
（0x0003A774）（0x00039BD0）（0x00001448）：0B00（    |    |    ）
（0x0003A7A4）（0x00039C00）（0x00001478）：0B00（    |    |    ）
（0x0003A7AC）（0x00039C08）（0x00001480）：0B00（    |    |    ）
（0x0003A7BC）（0x00039C18）（0x00001490）：0B00（    |    |    ）
（0x0003A7C4）（0x00039C20）（0x00001498）：0B00（    |    |    ）
（0x0003AF64）（0x0003A3C0）（0x00001C38）：0B00（    |    |    ）
（0x0003AF6C）（0x0003A3C8）（0x00001C40）：0B00（    |    |    ）
